,breed,Energy Level,Exercise Requirements,Playfulness,Affection Level,Friendliness to Dogs,Friendliness to Other Pets,Friendliness to Strangers,Watchfulness,Ease of Training,Grooming Requirements,Heat Sensitivity,Vocality
449,Siberian Husky/Cardigan Welsh Corgi,3.0,3.5,3.5,3.5,2.5,3.5,4.0,2.5,2.5,2.0,4.0,4.0
451,Staffordshire/French Bulldog,2.0,1.0,3.5,4.0,2.0,4.0,2.5,1.5,2.0,1.5,5.0,2.0
452,Dachshund/Cardigan Welsh Corgi,3.5,2.5,3.0,3.0,2.5,3.0,2.0,3.0,3.0,1.5,3.0,5.0
453,Rat Terrier/Boston Terrier,3.5,2.0,4.0,3.5,3.0,3.5,2.5,1.5,3.5,1.0,3.5,5.0
454,Cardigan Welsh Corgi/Cocker Spaniel,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0
455,German Shepherd/Bull Terrier,3.5,3.5,3.5,3.0,1.0,3.0,2.5,4.5,3.0,1.5,3.0,5.0
456,Chihuahua Shorthair/Miniature Schnauzer,3.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0
457,Pembroke Welsh Corgi/Brittany,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0
458,German Shepherd/Collie Rough,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
460,Black Mouth Cur/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
461,Rat Terrier/Pit Bull,4.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,5.0
462,Great Pyrenees/Border Collie,3.0,4.0,3.0,3.0,2.5,2.0,2.0,3.5,3.0,3.0,4.0,4.5
463,Rottweiler/Pit Bull,3.0,3.0,2.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,4.0,5.0
464,Jack Russell Terrier/Dachshund,4.5,3.0,4.0,3.0,2.5,1.5,2.0,2.0,2.5,2.5,3.0,5.0
465,Whippet/Rat Terrier,3.5,3.0,4.0,4.0,4.0,3.5,2.5,1.5,3.5,1.0,2.5,4.5
466,Pbgv/Jack Russell Terrier,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
467,Catahoula/Chow Chow,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,5.0,5.0
468,Siberian Husky/Catahoula,3.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,3.0
469,Dachshund/Chihuahua Longhair,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
470,Dachshund/Parson Russell Terrier,4.5,3.0,4.0,3.0,2.5,1.5,2.0,2.0,2.5,2.5,3.0,5.0
471,Canaan Dog/Pit Bull,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,3.0,5.0
472,Bruss Griffon/Pug,3.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,5.0,5.0
473,Jack Russell Terrier/Yorkshire Terrier,4.5,2.5,4.5,3.0,2.0,1.5,3.0,1.5,2.5,3.5,3.5,5.0
474,Saluki/Labrador Retriever,3.0,3.0,4.0,4.0,3.5,4.0,3.0,2.0,4.0,2.0,3.0,3.5
475,Border Terrier/Chihuahua Shorthair,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,4.0
476,Cardigan Welsh Corgi/Dachshund,3.5,2.5,3.0,3.0,2.5,3.0,2.0,3.0,3.0,1.5,3.0,5.0
477,Catahoula/Plott Hound,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0
478,Border Collie/Boxer,5.0,4.0,4.5,4.0,3.0,2.0,2.5,4.0,4.0,2.0,4.0,3.5
479,Collie Rough/Pointer,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
480,Pit Bull/English Bulldog,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
481,Jack Russell Terrier/Pug,4.0,3.0,4.5,3.5,2.5,2.0,2.5,1.5,3.0,2.5,4.0,5.0
482,Great Pyrenees/Alaskan Husky,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,5.0,5.0
483,Staffordshire/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
484,Shih Tzu/Miniature Poodle,3.5,2.0,4.5,4.0,4.0,3.5,4.0,1.0,3.5,4.5,4.0,4.0
485,Boston Terrier/Pembroke Welsh Corgi,3.0,2.0,3.0,3.5,3.0,4.0,3.5,2.5,3.5,1.0,4.0,5.0
486,American Staffordshire Terrier/Rhod Ridgeback,3.0,3.0,3.0,3.0,1.0,1.0,3.0,5.0,4.0,1.0,3.0,5.0
488,Australian Cattle Dog/Pointer,4.5,4.5,4.0,4.0,3.5,3.0,2.5,3.5,4.0,1.5,3.0,4.5
489,Soft Coated Wheaten Terrier/Labrador Retriever,3.5,3.0,4.5,5.0,3.5,4.0,4.5,2.0,4.0,3.0,4.0,4.0
490,Yorkshire Terrier/Dachshund Wirehair,4.0,1.5,3.5,3.0,2.5,2.0,2.0,1.5,2.0,3.0,3.5,5.0
492,Beagle/Basset Hound,2.5,2.5,3.0,4.5,4.0,4.0,4.0,1.0,1.5,1.5,3.0,3.5
493,Pointer/Anatol Shepherd,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
494,Schipperke/Chihuahua Shorthair,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0
495,Australian Shepherd/Cocker Spaniel,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
496,Pit Bull/Pointer,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
497,German Shepherd/Cardigan Welsh Corgi,3.0,3.5,2.5,3.0,1.5,3.5,2.5,4.5,4.5,1.5,3.0,5.0
498,Golden Retriever/German Shepherd,3.0,3.5,3.5,4.0,3.0,4.0,3.5,3.5,5.0,2.5,3.0,4.0
499,Basenji/Australian Cattle Dog,4.5,4.0,3.5,3.5,2.5,1.5,2.5,2.5,3.5,1.5,3.0,5.0
500,Chihuahua Shorthair/Papillon,4.0,1.0,5.0,5.0,4.0,4.0,4.0,1.0,5.0,3.0,3.0,5.0
501,Pit Bull/Dachshund,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
502,Collie Smooth/Jack Russell Terrier,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
503,Miniature Schnauzer/Scottish Terrier,3.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0
504,Black Mouth Cur/Boxer,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
505,Norwich Terrier/Pug,3.5,2.5,3.5,4.0,3.0,3.0,2.5,1.0,3.0,2.5,4.0,5.0
506,Beagle/American Staffordshire Terrier,3.0,3.0,3.5,4.0,3.0,3.0,4.0,3.0,2.5,1.0,3.0,4.5
507,Dachshund/Australian Kelpie,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
508,Newfoundland/Queensland Heeler,2.0,2.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0
509,Whippet/Beagle,3.0,3.0,3.5,4.5,5.0,4.5,4.0,1.0,2.0,1.0,3.0,4.0
510,Australian Shepherd/Siberian Husky,3.5,4.5,4.5,4.0,3.0,3.0,3.5,2.5,3.0,3.0,4.0,4.0
511,Dachshund Longhair/Toy Poodle,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
513,Queensland Heeler/Shetland Sheepdog,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,5.0,4.0,3.0,5.0
514,Chow Chow/Golden Retriever,2.0,2.5,3.0,3.5,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0
515,Australian Shepherd/Pit Bull,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
518,Yorkshire Terrier/Bruss Griffon,4.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,5.0
519,Cocker Spaniel/Dachshund,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
520,Bull Terrier/Australian Kelpie,4.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,5.0
521,Australian Shepherd/Nova Scotia Duck Tolling Retriever,4.5,5.0,5.0,4.5,4.0,4.0,2.5,3.0,4.5,2.5,3.0,3.5
522,Irish Wolfhound/Great Pyrenees,1.0,3.0,1.5,3.0,2.5,3.0,2.5,3.0,1.5,3.0,5.0,4.0
523,Australian Kelpie/Rat Terrier,4.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,5.0
524,Great Pyrenees/Boxer,3.0,3.0,3.5,4.0,2.5,3.0,2.5,4.5,2.0,2.0,5.0,4.0
525,American Bulldog/Boxer,3.0,2.0,4.5,5.0,2.0,3.5,3.5,3.5,2.5,1.5,5.0,2.0
526,German Shepherd/Black/Tan Hound,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
527,Italian Greyhound/Cavalier Span,3.0,2.5,3.0,4.0,3.5,3.0,2.5,1.5,3.0,1.0,3.0,2.5
528,Lhasa Apso/Shih Tzu,3.0,1.5,3.5,3.5,3.0,3.5,2.5,1.0,1.5,4.0,4.5,4.0
529,Rhod Ridgeback/Harrier,4.0,4.0,3.0,3.0,5.0,3.0,4.0,1.0,2.0,1.0,3.0,5.0
530,Pointer/Brittany,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
531,Cardigan Welsh Corgi/Australian Cattle Dog,4.0,4.0,3.5,3.5,2.5,3.0,2.5,4.0,4.5,1.5,3.0,5.0
532,Dachshund Wirehair/Chihuahua Longhair,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
533,Carolina Dog/Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
534,Miniature Poodle/West Highland,4.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,3.0,5.0
535,Dachshund/Greyhound,3.0,2.5,3.0,3.0,3.0,2.0,2.0,2.0,2.5,1.5,3.5,3.5
536,Boxer/American Staffordshire Terrier,4.0,3.0,4.0,4.0,2.0,2.0,3.0,5.0,3.5,1.0,4.0,4.0
537,Border Collie/Beagle,4.0,4.0,4.0,4.0,4.0,3.0,3.5,2.0,3.0,2.0,3.0,4.0
538,Jack Russell Terrier/Shih Tzu,4.0,2.5,4.5,3.5,3.0,2.5,3.5,1.5,2.5,3.5,4.0,4.0
539,American Staffordshire Terrier/Plott Hound,3.0,3.0,3.0,3.0,1.5,1.5,2.5,4.5,3.0,1.0,3.0,4.5
540,Labrador Retriever/Queensland Heeler,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
542,Pit Bull/Mastiff,1.0,2.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,4.0,5.0
543,Australian Cattle Dog/Basenji,4.5,4.0,3.5,3.5,2.5,1.5,2.5,2.5,3.5,1.5,3.0,5.0
544,Newfoundland/Labrador Retriever,3.0,2.5,4.0,5.0,4.0,5.0,5.0,3.0,4.0,2.5,4.0,3.5
545,Dachshund/Havanese,4.0,2.5,4.0,4.0,3.5,3.0,3.0,1.5,3.0,2.5,3.0,4.5
546,Papillon/Pomeranian,4.0,1.0,4.5,3.0,2.5,3.5,2.5,1.0,3.0,3.0,3.0,5.0
547,Scottish Terrier/Cairn Terrier,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0
548,Carolina Dog/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
549,Australian Kelpie/Australian Shepherd,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
550,Maltese/Cocker Spaniel,4.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,5.0
551,Papillon/Yorkshire Terrier,4.0,1.0,4.5,4.0,3.0,3.0,3.5,1.0,3.5,3.5,3.5,5.0
552,Boxer/Beagle,4.0,3.0,4.5,5.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,3.5
554,Australian Cattle Dog/Pembroke Welsh Corgi,4.0,4.0,3.5,4.0,3.0,3.0,3.0,4.0,4.5,1.5,3.0,5.0
555,Boxer/German Shepherd,4.0,3.5,3.5,4.0,2.0,3.0,2.5,5.0,4.0,1.5,4.0,4.0
556,Border Collie/English Springer Spaniel,4.0,4.5,4.0,4.0,3.0,3.0,3.0,2.5,5.0,3.5,3.0,4.0
557,Dachshund/Cavalier Span,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
558,Welsh Terrier/Wire Hair Fox Terrier,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0
559,Boston Terrier/Labrador Retriever,3.5,2.0,4.0,4.0,3.5,4.5,4.0,1.5,4.0,1.5,4.0,4.5
560,Pit Bull/Siberian Husky,3.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,3.0
561,Greyhound/Dalmatian,3.0,3.0,3.0,4.0,3.0,2.5,3.0,2.5,3.0,1.5,3.5,3.0
562,Miniature Schnauzer/Soft Coated Wheaten Terrier,3.0,3.0,4.0,4.5,3.0,3.0,3.5,1.5,3.0,3.5,4.0,4.5
563,Golden Retriever/Australian Shepherd,3.5,4.0,5.0,4.5,4.0,4.0,3.5,3.0,5.0,3.0,3.0,4.0
564,American Pit Bull Terrier/Catahoula,4.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,5.0
565,English Bulldog/Dachshund,2.5,1.5,3.5,4.0,2.0,3.0,2.5,2.0,2.0,2.0,4.0,3.0
566,Dachshund/Belgian Malinois,4.0,3.5,3.5,2.0,3.0,2.5,1.0,3.5,3.5,1.5,3.0,5.0
567,Australian Cattle Dog/Catahoula,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
568,Pit Bull/Weimaraner,5.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,5.0
569,Cardigan Welsh Corgi/Miniature Pinscher,4.0,2.5,4.0,3.0,2.0,2.5,2.0,2.5,2.5,1.0,3.0,5.0
570,Great Pyrenees/Australian Shepherd,2.5,4.0,3.5,3.5,2.5,3.0,2.0,4.0,3.0,3.0,4.0,5.0
571,Anatol Shepherd/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
572,Shiba Inu/German Shepherd,3.0,3.5,2.5,3.0,1.5,2.5,2.5,4.0,3.5,2.5,3.5,5.0
573,Shih Tzu/Dachshund,3.5,1.5,3.5,3.5,3.5,3.0,2.5,1.5,2.0,3.0,4.0,4.0
574,Collie Smooth/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
575,Miniature Pinscher/Pug,4.0,2.0,4.5,3.5,2.5,2.0,1.5,1.0,2.0,1.5,4.0,5.0
576,Miniature Pinscher/Dachshund,4.5,2.0,4.0,3.0,2.5,1.5,1.0,1.5,1.5,1.5,3.0,5.0
579,Plott Hound/Bull Terrier,3.5,3.0,4.0,3.0,1.5,2.5,2.5,4.0,1.5,1.0,3.0,4.5
580,West Highland/Cairn Terrier,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0
581,Staffordshire/Beagle,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
582,Labrador Retriever/American Pit Bull Terrier,4.0,3.0,5.0,4.0,2.5,4.0,4.0,3.0,3.0,1.5,3.0,4.5
583,Dutch Shepherd/Boxer,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
584,German Shepherd/Mastiff,2.0,3.0,1.5,3.5,2.0,3.5,2.0,4.5,4.0,1.5,3.5,5.0
586,Miniature Schnauzer/Queensland Heeler,3.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0
587,Beagle/Cocker Spaniel,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
588,Boxer/Jack Russell Terrier,5.0,3.5,5.0,4.0,2.5,2.0,3.0,3.5,3.0,2.0,4.0,4.0
589,Dachshund/American Staffordshire Terrier,3.5,2.5,3.0,3.0,2.0,1.5,2.0,3.5,3.0,1.5,3.0,5.0
590,Rat Terrier/Cardigan Welsh Corgi,3.5,3.0,4.0,3.5,2.5,3.5,2.5,3.0,4.0,1.0,2.5,5.0
591,Vizsla/Rhod Ridgeback,3.0,3.0,4.0,5.0,3.0,4.0,5.0,1.0,3.0,1.0,3.0,4.0
592,Chow Chow/Irish Setter,3.0,3.5,3.0,3.5,2.0,3.0,3.0,2.5,2.0,3.0,4.0,4.5
593,Great Pyrenees/Golden Retriever,2.0,3.0,3.5,4.0,3.5,4.0,3.5,3.0,3.0,3.0,4.0,4.0
594,Miniature Schnauzer/Whippet,3.0,3.0,3.5,4.0,4.0,3.5,3.0,1.0,3.0,2.0,3.0,4.5
595,Miniature Poodle/Italian Greyhound,3.333333333,2.666666667,3.666666667,4.0,3.666666667,3.0,3.0,1.333333333,3.666666667,2.333333333,3.0,3.333333333
596,Harrier/Labrador Retriever,4.0,3.5,4.0,4.0,4.5,4.0,4.5,1.5,3.5,1.5,3.0,4.5
597,Miniature Schnauzer/Chihuahua Shorthair,3.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0
599,Border Terrier/Border Collie,4.0,4.0,3.5,3.0,3.0,1.5,2.5,2.0,4.5,3.0,3.0,4.0
600,Rat Terrier/Basenji,4.0,3.0,4.0,3.5,2.5,2.0,2.5,1.5,3.0,1.0,2.5,5.0
602,Cardigan Welsh Corgi/Pit Bull,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0
603,Siberian Husky/Pit Bull,3.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,3.0
604,Pit Bull/Pug,3.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,5.0,5.0
605,German Pinscher/Whippet,3.5,3.0,3.5,4.0,3.5,2.5,2.5,2.0,3.0,1.0,2.5,4.5
606,Shih Tzu/Cocker Spaniel,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,5.0,3.0
607,Labrador Retriever/Newfoundland,3.0,2.5,4.0,5.0,4.0,5.0,5.0,3.0,4.0,2.5,4.0,3.5
608,Great Pyrenees/English Setter,2.5,3.5,2.5,3.5,2.5,3.5,3.5,3.0,2.0,3.0,4.0,4.5
609,Dogo Argentino/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
610,German Shepherd/Australian Shepherd,3.5,4.5,3.5,3.5,2.0,3.0,2.0,4.5,5.0,2.5,3.0,5.0
611,Cardigan Welsh Corgi/Beagle,3.0,3.0,3.5,4.0,3.5,4.5,4.0,2.5,2.5,1.0,3.0,4.5
612,Dachshund/Whippet,3.5,2.5,3.0,3.5,4.0,3.0,2.0,1.5,2.5,1.5,3.0,4.5
613,Labrador Retriever/Mastiff,2.5,2.5,3.0,4.5,3.5,4.5,3.5,3.0,4.0,1.5,3.5,4.5
614,Labrador Retriever/Standard Schnauzer,4.0,3.0,4.0,3.5,3.0,4.0,3.0,3.5,4.0,3.0,3.0,4.5
615,Cairn Terrier/Shih Tzu,3.5,2.0,3.5,3.5,3.5,2.5,2.5,1.0,1.5,3.5,4.0,4.0
616,Doberman Pinsch/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
617,Chihuahua Shorthair/Basenji,4.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,5.0
618,Pit Bull/Border Collie,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
619,Dachshund Longhair/Pembroke Welsh Corgi,3.5,2.5,3.0,3.5,3.0,3.0,2.5,3.0,3.0,1.5,3.0,5.0
620,Cardigan Welsh Corgi/Cairn Terrier,3.5,3.0,3.0,3.0,2.5,2.5,2.0,2.5,2.5,2.0,3.0,5.0
621,Whippet/Shetland Sheepdog,3.0,3.0,3.0,3.5,4.5,4.0,2.0,1.0,4.0,2.5,3.0,4.5
622,German Shepherd/Doberman Pinsch,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
623,Smooth Fox Terrier/Jack Russell Terrier,4.5,3.5,4.5,3.5,2.5,1.5,3.5,1.5,3.5,2.0,3.0,5.0
624,French Bulldog/Chihuahua Shorthair,2.0,1.0,3.5,4.0,2.0,4.0,2.5,1.5,2.0,1.5,5.0,2.0
625,Boxer/Boston Terrier,4.0,2.0,4.0,4.0,3.0,3.5,3.0,3.0,3.0,1.0,5.0,4.0
626,Jack Russell Terrier/Miniature Schnauzer,4.0,3.5,4.5,3.5,2.5,2.0,3.0,1.5,3.0,3.0,3.0,5.0
627,Shiba Inu/Chinese Sharpei,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0
628,Australian Cattle Dog/Queensland Heeler,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
629,Finnish Spitz/Chow Chow,2.0,2.5,2.0,2.5,2.0,3.0,1.0,3.5,2.0,3.0,4.5,4.5
630,Black/Tan Hound/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
631,Beagle/Whippet,3.0,3.0,3.5,4.5,5.0,4.5,4.0,1.0,2.0,1.0,3.0,4.0
632,Alaskan Husky/Australian Shepherd,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
633,Shetland Sheepdog/Italian Greyhound,3.0,2.666666667,3.0,3.666666667,3.666666667,3.333333333,2.0,1.333333333,3.666666667,2.0,3.0,3.333333333
634,Border Terrier/Rat Terrier,3.5,3.0,4.0,3.5,3.0,2.5,2.5,1.5,4.0,2.0,2.5,4.5
635,Pembroke Welsh Corgi/Pit Bull,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0
636,Newfoundland/Australian Cattle Dog,3.5,3.5,3.5,4.5,3.5,3.5,3.5,4.0,4.0,2.5,4.0,4.0
637,Shiba Inu/Siberian Husky,3.0,3.5,3.5,3.5,2.5,2.5,4.0,2.0,1.5,3.0,4.5,4.0
638,Collie Rough/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
639,Akita/Chow Chow,2.0,2.5,2.0,2.5,1.0,2.5,1.0,4.0,2.0,2.5,5.0,5.0
641,Australian Cattle Dog/Boxer,5.0,4.0,4.5,4.5,3.0,2.5,2.5,4.5,4.0,1.5,4.0,4.0
642,Collie Smooth/Boxer,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
643,Australian Shepherd/Greyhound,3.0,4.0,4.0,3.5,3.0,2.5,2.5,3.0,4.0,2.0,3.5,3.5
644,Mastiff/Dutch Shepherd,1.0,2.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,4.0,5.0
645,Siberian Husky/Rottweiler,3.0,3.5,3.0,3.0,2.0,2.5,3.0,3.0,2.0,2.0,4.5,4.0
646,Jack Russell Terrier/Dachshund Wirehair,4.5,3.0,4.0,3.0,2.5,1.5,2.0,2.0,2.5,2.5,3.0,5.0
647,Bruss Griffon/Cairn Terrier,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0
648,Collie Smooth/Golden Retriever,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0
649,Pointer/Boxer,4.5,3.5,4.5,4.5,3.5,3.5,3.0,4.0,3.0,1.0,4.0,3.5
650,Boxer/Chow Chow,3.0,2.5,3.0,3.5,2.0,3.0,2.0,4.5,2.0,2.0,5.0,4.0
651,Australian Shepherd/Australian Kelpie,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
652,Jack Russell Terrier/Miniature Poodle,4.5,3.5,5.0,3.5,3.0,2.0,3.5,1.5,4.0,4.0,3.0,5.0
653,Schnauzer Giant/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
654,Labrador Retriever/Boston Terrier,3.5,2.0,4.0,4.0,3.5,4.5,4.0,1.5,4.0,1.5,4.0,4.5
655,Pit Bull/Border Terrier,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,4.0
656,Doberman Pinsch/Vizsla,3.0,3.0,4.0,5.0,3.0,4.0,5.0,1.0,3.0,1.0,3.0,4.0
657,Collie Smooth/Saluki,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0
659,Chihuahua Shorthair/Whippet,3.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,3.0,1.0,3.0,4.0
660,Boxer/Black Mouth Cur,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
661,Australian Cattle Dog/Jack Russell Terrier,5.0,4.5,4.5,3.5,2.5,1.5,2.5,3.0,4.0,2.5,3.0,5.0
662,Pekingese/Chihuahua Shorthair,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,5.0,5.0,5.0
663,Shetland Sheepdog/Chihuahua Longhair,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,5.0,4.0,3.0,5.0
664,Pit Bull/Bulldog,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
665,Pointer/Jack Russell Terrier,4.5,4.0,4.5,3.5,3.0,2.5,3.0,2.5,3.0,2.0,3.0,4.5
666,Maltese/Jack Russell Terrier,4.5,2.5,4.5,3.0,2.5,2.0,2.0,1.5,3.0,3.0,3.5,5.0
667,American Pit Bull Terrier/Boxer,4.5,3.0,5.0,4.0,2.0,3.0,3.0,4.5,2.0,1.0,4.0,4.0
668,Pug/Italian Greyhound,3.0,2.333333333,3.333333333,4.0,3.333333333,3.0,2.333333333,1.333333333,3.0,1.333333333,3.666666667,3.333333333
669,Toy Poodle/Bichon Frise,4.0,2.0,5.0,5.0,4.0,4.0,5.0,1.0,4.0,5.0,3.0,4.0
670,Golden Retriever/Akita,3.0,3.0,4.0,4.0,3.0,3.5,3.0,3.0,4.0,2.5,4.0,4.0
671,Pekingese/Catahoula,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,5.0,5.0,5.0
672,Dachshund/Basset Hound,3.0,2.0,2.5,3.5,3.0,2.5,2.0,1.5,2.0,2.0,3.0,4.0
